,movie_id,year,synopsis,genres
0,0,2005,"Cruel But Necessary is the story of Betty Munson's strange journey of self-discovery and soul-awakening in the traumatic years following the revelation, on videotape, of her husband's infidelity. Her marriage over, struggling to raise her teen-age son alone, Betty becomes driven to discover other secrets that may surround her and so she videotapes every aspect of her life during the gradual disintegration of her comfortable upper middle-class existence. Sometimes used as an eavesdropping device, other times as a confessional, Betty's camera dispassionately records the layers of family and personal dynamics. The film is seen entirely from the viewpoint of Betty's video camera resulting in a ""surveillance tape"" that is a kind of voyeurism of the absurd",Drama
1,1,2012,"Yorkshire, 1974, the Maynard family moves into their dream house. It's a dream that quickly descends into a panic stricken nightmare as the family discovers a horrifying truth, a truth that will make the history books. The house is already occupied by the most violent poltergeist ever documented, a poltergeist that will tear you from your bed as you sleep and drag you helplessly into the darkness.",Drama Horror Thriller
2,2,2017,"When a renowned architecture scholar falls suddenly ill during a speaking tour, his son Jin finds himself stranded in Columbus, Indiana - a small Midwestern city celebrated for its many significant modernist buildings. Jin strikes up a friendship with Casey, a young architecture enthusiast who works at the local library.",Drama
3,3,1996,"The story dealt with Lord Rama and his retaliation over Ravana,  in which all the characters played in the film were child artists.",Children Drama
4,4,2003,A Thai playboy cons a girl into bed and then leaves her after finding out she is pregnant with his child. She commits suicide alone in her apartment and her ghost haunts those nearby. The apartment block owner calls upon a series of eccentric shamans to exorcise her spirit from the premises.,Comedy Drama Horror Thriller
5,5,1965,The 1965 version of the Shakespeare play.,Drama Romance
6,6,1990,"A joint task force operation between the Drug Enforcement Administration and the U.S. Army has been formed to dismantle one of the largest drug cartels operating in South America. Multiple attempts to assault the cartel's mountainous compound have been thwarted by a Scorpion-attack helicopter piloted by a cartel leader, Eric Stoller (Bert Rhine). After having several aircraft shot down, most notably a pair of UH–60 Black Hawks and their AH–1 Cobra escorts, the army turns to the new AH–64 Apache attack helicopter, which can match its enemies' maneuverability and firepower.",Action Adventure
7,7,1990,"Tommaso Scalia is a man who commits three murders: he killed his superior who sacked him, he kills the man who replaced him, and he kills his own wife. He wants a quick trial and an early execution, but an earnest, principled assistant judge looks for a way to save the murderer from being shot, because he does not belive in capital punishment. Although he manages to save the man initially, he will pay a high price for it.",Drama
8,8,1991,"In 1880's China, young Lalu is sold into marriage by her impoverished father. Rather than becoming a bride, Lalu ends up in an Idaho gold-mining town, the property of a saloon owner who renames her China Polly and plans to sell her as entertainment for the locals. Refusing to become a whore, Lalu ultimately finds her own way in this strange country filled with white demons.",Drama Romance
9,9,1950,"When a young woman's skeletal remains turn up on a Massachusetts beach, Barnstable cop Peter Morales teams with Boston police and uses forensics, with the help of a Harvard professor,  to determine the woman's identity, how she died, and who killed her.",Crime Drama Film-Noir
10,10,2001,"Anna Friel stars in classy wartime drama The War Bride. She plays Lily, an orphan who suddenly finds herself married, with child and living with hostile in-laws in the wilds of Canada.",Drama Romance
11,11,2003,"In a Swiss church, Antonio Carrera is getting married to the pretty daughter of an Italian Mafioso, when army police officers march in and take him to the 15 week compulsory Swiss military training...",Comedy Romance
12,12,1939,"A paroled convict's efforts to improve conditions at a boys' reform school alarm the school's corrupt warden, who has been embezzling funds from the institution. He hatches a plan to derail the reformed convict's efforts and have him sent back to prison, and part of that scheme involves cracking down hard on the reform school's inmates.",Drama
13,13,1987,"Robert is an architect and artist, in Vichy after separating from his Parisian wife. Robert finds it calms him to stand in the shadows of the home of Juliette and Patrick and watch her cook. She thinks he's a prowler and confronts him, then invites him in...",Drama Romance
14,14,2012,Documentary about the quest for peace between rival gangs in Birmingham.,Documentary
15,15,2004,A movie based on real wartime diaries tells the story of the Swedish speaking Finns' infantry regiment 61. The story follows the regiment during the Continuation War from 1942 to 1944 and from Syväri to the Karelian Isthmus where they faced some of the most grueling battles against the Soviet Union.,Drama War
16,16,2010,A young girl sent to live with her father and his new girlfriend discovers creatures in her new home who want to claim her as one of their own.,Horror Thriller
17,17,2017,"Jeffrey Dahmer struggles with a difficult family life as a young boy. During his teenage years he slowly transforms, edging closer to the serial killer he becomes.",Crime Drama Horror Thriller
18,18,1907,A magical woman  and her magical eggs.,Fantasy
19,19,1964,Summer in Tyrol (Danish: Sommer i Tyrol) is a 1964 Danish comedy film directed by Erik Balling and starring Dirch Passer.,Children Comedy
20,20,2016,"A remote fishing village in Iceland. Teenage boys Thor and Christian experience a turbulent summer as one tries to win the heart of a girl while the other discovers new feelings toward his best friend. When summer ends and the harsh nature of Iceland takes back its rights, it's time to leave the playground and face adulthood.",Drama Romance
21,21,1981,"At a summer camp for youths, cocky pre-teen calls out the name of mass serial killer ""Madman Marz"". Suddenly, counselors are being maimed and slaughtered in various ways by the backwoodsman who has returned when his name was called.",Horror
22,22,2013,"A 25 year old young man with dreams of becoming a dancer despite the fact that he's paralyzed from the waist down. His dreams are shattered when his uncle falls seriously ill. To save him, he decides to go work for petrol traffickers.",Drama
23,23,2011,"Ceci, a seven year old girl, has to keep a huge secret, but she doesn't completely understand what is the secret about. The life of her family depends on her silence. But what exactly must she keep silent about? Ceci and her mom live hidden from military repression in Argentina. Ceci asks herself: what must she say? What should she really believe and do in order to deserve the love of her mother and others?",Drama
24,24,2015,"Laney is an attractive, intelligent suburban wife and devoted mother of two adorable children. She has the perfect husband who plays basketball with the kids in the driveway, a pristine house, and a shiny SUV for carting the children to their next activity. However, just beneath the façade lie depression and disillusionment that send her careening into a secret world of reckless compulsion. Only very real danger will force her to face the painful root of her destructiveness and its crumbling effect on those she loves.",Drama
25,25,1930,"'Natural' Davis (William Powell) is a respected gambler who follows a ruthless code of honour with those who cheat against him. His wife Alma (Kay Francis) wants to divorce him because of his addiction and lifestyle but they agree on a reconciliation and 2nd honeymoon together and 'Natural' promises to  give up gambling. However, his plans change when his brother 'Babe' (Regis Toomey) arrives in town.",Drama
26,26,1977,"On the way to California, a family has the misfortune to have their car break down in an area closed to the public, and inhabited by violent savages ready to attack.",Horror
27,27,1967,"John Chandler is sentenced to death only to re-emerge as his own brother, courtesy of the CIA who have arranged the subterfuge so they can use him as a double agent.",Drama Thriller
28,28,1967,"A crime reporter (Erik Schumann) uncovers a lurid plot by a Hamburg gang to dose impressionable young girls with LSD in order to enslave them into prostitution. Featuring mad killers, psychedelic acid trips and ladies mud  wrestling!",Crime Thriller
29,29,2013,"In a village on the Hungarian border, two young brothers grow up during war time with their cruel grandmother and must learn every trick of evil to survive in the absurd world of adults.",Drama War
30,30,2003,"Paradise Found is a biography about the painter Paul Gauguin. Focusing on his personal conflict between citizen life and his family life and the art scene in Frane. In an incredible imagery montage Gauguin manages to make a successful living in the South Pacific, while being in opposition  to France.",Drama
31,31,1983,"In another typical Jean-Paul Belmondo vehicle, the French action hero plays a policeman prone to advancing the cause of justice by any means necessary. On his agenda is a powerful drug cartel working out of Paris and Marseilles, with a drug lord (Henry Silva) who is essentially inaccessible -- but not immortal. Stunts (performed by Belmondo) and chase scenes on land and water enliven the story, but the scenes with Belmondo's love interest are rather marginal themselves.",Action Crime Drama Thriller
32,32,1991,"In this modern day version of Shakespeare's Macbeth, a hitman heeds a spiritualist's prophesies that he will rise to the head of his family. He starts his ascension by clandestinely executing the heads of the family and casting the blame on others.  However, with power comes consequences that are also predicted by the seer.",Crime Drama Thriller
33,33,1975,"Man Follows Birds is a coming-of-age story of a young Uzbek poet surrounded by violence.  Farouk is fascinated by trees and Khamraev films him with a lot of melancholy and tenderness. Cast apart because he’s poor and his father’s drunk, Farouk is not happy in his village. When his father dies, he decides to go in the mountains with his best friends.  Looking for nature at its purest, the two teenage boys have to deal with the cruelty of violent barbarians. Their trip will also make them meet a lost orphan girl and a wise beggar.",Drama
34,34,1974,"In Italy, a dying woman tells her granddaughter that she hid her treasure many years ago in Russia, in the city of Leningrad. Other people (who were around when she died) also learn about it. Thus several people arrive in Leningrad trying to find the treasure, each one for himself/herself. What's worse - the only information they have is that the treasure is under a lion - and it's in Leningrad, a city known by its numerous statues of lions. The story gets even more interesting when  the soviet militia (police) learns about the whole thing and send an undercover agent...",Adventure Comedy
35,35,2016,A married womans husband with a perfect life cheats with her sister with extreme consequences befalling them all.,Drama
36,36,2011,"A lazy, incompetent middle school teacher who hates her job and her students is forced to return to her job to make enough money for a boob job after her rich fiancé dumps her.",Comedy
37,37,2004,"For no apparent reason, a mute young woman assaults a youth who delivers water on his bicycle, injuring  him and ruining his bike. Surprisingly, she asks him to feed her fish while she is in custody. Her tiny apartment, he discovers, is a shrine to his favorite escape, the movies.",Drama
38,38,2018,Bill Maher will be bringing his stand-up show to screens this summer with when he appears on stage from Tulsa in Bill Maher: Live From Oklahoma.,Comedy
39,39,2002,"A reporter asks Jigen to tell how he met Lupin and the rest of the gang. He tells of when he was hired by a millionaire named Galvez to help guard the Clam of Helmeth, a green cylinder made of unbreakable metal. The cylinder contained instructions on how to forge a metal similar to the one that composed it. The Clam has also gained the attentions of Lupin, a fellow thief named Brad, and Brad's partner, Fujiko.  Brad manages to steal the Clam, but is murdered by Galvez' henchman, Shade. Lupin and Fujiko now have possession of it, but no means to open it. Meanwhile, Inspector Zenigata has been dispatched by the Japanese police to hunt down and arrest Fujiko. He is paired with George McFly, an American detective who is his only resource. And on the other side of the world, Goemon is seeking a sword worthy of his skills.  The key to opening the Clam of Helmeth is now the focus of everyone's efforts, but who will come across it first?",Action Animation Comedy Crime Drama Mystery Romance Thriller
40,40,1963,"""I Am Walking Along Moscow"" aka ""Ya Shagayu Po Moskve"" (1963) is a charming lyrical comedy directed by Georgi Daneliya in 1963 that was nominated for Golden Palm at Cannes Film Festival. Daneliya proved that it is possible to create a masterpiece in the most difficult genre of romantic comedy. Made by the team of young and incredibly talented artists that besides Daneliya included writer/poet Gennady Shpalikov, composer Andrei Petrov, and cinematographer Vadim Yusov (who had made four films with Andrei Tarkovski), and the dream cast of the talented actors even in the smaller cameos, ""I Am Walking Along Moscow"" keeps walking victoriously through the decades remaining deservingly one of the best and most beloved Russian comedies and simply one of the best Russian movies ever made. Funny and gentle, dreamy and humorous, romantic and realistic, the film is blessed with the eternal youth and will always take to the walk on the streets of Moscow new generations of the grateful viewers.",Comedy Romance
41,41,2011,Two contempo Frenchmen  of Antillean descent visit their ancestor's time as well as their land in the slavery-themed French era.,Comedy
42,42,1994,"A man wakes up in an alley, bleeding and with no memory of who he is. He stumbles into a coffee shop and is befriended by a charitable ex-nun who is failing in her attempts to write marketable pornography.",Crime Drama Thriller
43,43,2017,"Edwin’s Restaurant is determined to become one of America’s top French restaurants, with a staff unlike any other in the country. Brandon Edwin Chrostowski prepares to open his Cleveland, Ohio fine dining establishment with a staff composed nearly entirely of recently released prisoners in search of an opportunity to get their lives back on track. They sign up for a classical French food boot camp to learn the ins and outs of fine wine, sauces, and more. Inspiring and engaging, this documentary emphasizes the enriching and fundamental power of food to bring people together, regardless of circumstance or background.",Documentary
44,44,1999,"Increasingly disturbed by the dark energies building within him, Ryu is confronted by Shun, a boy claiming to be the brother he never knew. But before Ryu can consider whether Shun's timely appearance might be more than coincidental, Shun is kidnapped by Shadowlaw. To recover Shun, Ryu must undertake the ultimate journey of self-discovery and learn to control the power threatening to consume him.",Action Animation
45,45,2008,A young man having an existential crisis convinces a Canadian  self-help guru to come to London and become his personal life coach.,Comedy Drama
46,46,1982,Benson is a police detective. After a series of murders in the Gay community he is ordered to go undercover with a gay police clerk named Kerwin as his partner. In order to be noticed they have to be flamboyant enough to attract attention which Benson finds rather disturbing. Can an uptight heterosexual and a mousey homosexual form a meaningful relationship?,Comedy
47,47,2004,"In 1959, in Romania, six former members of the nomenklatura and the secret police organize a hold up of the National Bank. After their arrest, the state forces them to play themselves in a film which reconstitutes the crime and the investigation. At the end of their trial, filmed live, they are sentenced to death and executed. A month later, the film Reconstitution was released and became a sensation throughout the country.  - Written by giolgaudaniel",Documentary
48,48,1949,"Capt. Gerard, greatest lover in the Foreign Legion, is assigned to escort an emir's daughter to her father's mountain citadel and find out what he can about the emir's activities. Gerard enjoys his work with lovely Cara, but arrives to find rebellion brewing. Can the garrison be reinforced in time?",Action Adventure
